Бокс	Рейтинг IBF (полусредний вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_IBF
Бокс	Рейтинг IBF (первый полусредний вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_IBF
Бокс	Рейтинг IBF (легкий вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_IBF
Бокс	Рейтинг IBF (второй полулегкий вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_IBF
Бокс	Рейтинг IBF (полулегкий вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_IBF
Бокс	Рейтинг IBF (второй легчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_IBF
Бокс	Рейтинг IBF (легчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_IBF
Бокс	Рейтинг IBF (второй наилегчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_IBF
Бокс	Рейтинг IBF (наилегчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_IBF
Бокс	Рейтинг IBF (первый наилегчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_IBF
Бокс	Рейтинг IBF (минимальный вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_IBF
Бокс	Рейтинг WBA (тяжелый вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBA	https://www.wbaboxing.com/wba-ranking
Бокс	Рейтинг WBA (первый тяжелый вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBA
Бокс	Рейтинг WBA (полутяжелый вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBA
Бокс	Рейтинг WBA (второй средний вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBA
Бокс	Рейтинг WBA (средний вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBA
Бокс	Рейтинг WBA (первый средний вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBA
Бокс	Рейтинг WBA (полусредний вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBA
Бокс	Рейтинг WBA (первый полусредний вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBA
Бокс	Рейтинг WBA (легкий вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBA
Бокс	Рейтинг WBA (второй полулегкий вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBA
Бокс	Рейтинг WBA (полулегкий вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBA
Бокс	Рейтинг WBA (второй легчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBA
Бокс	Рейтинг WBA (легчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBA
Бокс	Рейтинг WBA (второй наилегчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBA
Бокс	Рейтинг WBA (наилегчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBA
Бокс	Рейтинг WBA (первый наилегчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBA
Бокс	Рейтинг WBA (минимальный вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBA
Бокс	Рейтинг WBC (тяжелый вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBC	https://wbcboxing.com/en/heavy/
Бокс	Рейтинг WBC (первый тяжелый вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBC	https://wbcboxing.com/en/cruiserweight/
Бокс	Рейтинг WBC (полутяжелый вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBC	https://wbcboxing.com/en/ltheavyweight/
Бокс	Рейтинг WBC (второй средний вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBC	https://wbcboxing.com/en/supermiddleweight-2/
Бокс	Рейтинг WBC (средний вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBC	https://wbcboxing.com/en/middleweight/
Бокс	Рейтинг WBC (первый средний вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBC	https://wbcboxing.com/en/superwelterweight/
Бокс	Рейтинг WBC (полусредний вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBC	https://wbcboxing.com/en/welterweight/
Бокс	Рейтинг WBC (первый полусредний вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBC	https://wbcboxing.com/en/superlightweight/
Бокс	Рейтинг WBC (легкий вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBC	https://wbcboxing.com/en/lightweight/
Бокс	Рейтинг WBC (второй полулегкий вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBC	https://wbcboxing.com/en/superfeatherweight/
Бокс	Рейтинг WBC (полулегкий вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBC	https://wbcboxing.com/en/featherweight/
Бокс	Рейтинг WBC (второй легчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBC	https://wbcboxing.com/en/superbantamweight/
Бокс	Рейтинг WBC (легчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBC	https://wbcboxing.com/en/bantamweight/
Бокс	Рейтинг WBC (второй наилегчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBC	https://wbcboxing.com/en/superflyweight/
Бокс	Рейтинг WBC (наилегчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBC	https://wbcboxing.com/en/flyweight/
Бокс	Рейтинг WBC (первый наилегчайший вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBC	https://wbcboxing.com/en/lightflyweight/
Бокс	Рейтинг WBC (минимальный вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBC	https://wbcboxing.com/en/minimumweight/
Бокс	Рейтинг WBO (тяжелый вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBO
Бокс	Рейтинг WBO (первый тяжелый вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBO
Бокс	Рейтинг WBO (полутяжелый вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBO
Бокс	Рейтинг WBO (второй средний вес)	https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3_WBO
